country,Population_2022,Population_2020,Population_2015,Population_2010,Population_2000,Population_1990,Population_1980, Population_1970,net_change,density,land_area,migrants,fertility,med_age,urban,rural,world_share,score,gdp
China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,5540090.0,153.0,9388211.0,-348399.0,1.7,38.0,878581673.25,561716151.75,266023008.2775,5.191,1.029
India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,13586631.0,464.0,2973190.0,-532687.0,2.2,28.0,483820779.75,898524305.25,244675080.045,4.015,0.755
United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,1937734.0,36.0,9147420.0,954806.0,1.8,38.0,275013071.5,56327978.5,14081994.625,6.892,1.433
Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,2898047.0,151.0,1811570.0,-98955.0,2.3,30.0,153452098.24,120569505.76,9618158.3004,5.192,0.931
Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,4327022.0,287.0,770880.0,-233379.0,3.6,23.0,77564474.75,144048310.25,6271641.8155000005,5.653,0.677
Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,1509890.0,25.0,8358140.0,21200.0,1.7,33.0,187283347.68,25538638.319999997,5810040.2178,6.3,1.004
Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,5175990.0,226.0,910770.0,-60000.0,5.4,18.0,107631860.44,99352486.56,5464386.7608,5.265,0.696
Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,1643222.0,1265.0,130170.0,-369501.0,2.1,28.0,64339215.72,100633132.28,3480916.5428,4.456,0.562
Russia,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,62206.0,9.0,16376870.0,182456.0,1.8,40.0,107999687.76,37945836.24,2729181.2988,5.648,1.183
Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1357224.0,66.0,1943950.0,-60000.0,2.1,29.0,108499463.52,20666564.480000004,2131239.462,6.595,1.07
Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,-383840.0,347.0,364555.0,71560.0,1.4,48.0,116294828.24,10112593.760000004,2047800.2364,5.886,1.327
Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,2884858.0,115.0,1000000.0,30000.0,4.3,19.0,24241233.24,91193210.76,1696886.3268000002,4.286,0.336
Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1464463.0,368.0,298170.0,-67152.0,2.6,26.0,51620252.28,58210071.72,1548607.5684,5.631,0.807
Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1946331.0,103.0,995450.0,-38033.0,3.3,25.0,44143424.18,58515701.82,1344834.5506,4.166,0.913
Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,876473.0,314.0,310070.0,-80000.0,2.1,32.0,37046204.94,60443808.06,1218625.1625,5.175,0.741
Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,909452.0,110.0,769630.0,283922.0,2.1,32.0,64216384.68,20278858.32,912548.6244,5.373,1.183
Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1079043.0,52.0,1628550.0,-55000.0,2.2,32.0,63974466.04,20202462.96,909110.8332,4.548,1.1
Germany,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,266897.0,240.0,348560.0,543822.0,1.6,46.0,63711538.72,20119433.28,896991.4004,6.985,1.373
Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,174396.0,137.0,510890.0,19444.0,1.5,40.0,35613697.29,34217081.71,628477.011,6.008,1.05
United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,355839.0,281.0,241930.0,260650.0,1.8,40.0,56397074.06,11551207.939999998,591150.0534,7.054,1.333
France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,143783.0,119.0,547557.0,36527.0,1.9,42.0,53545122.6,11753807.4,548511.012,6.592,1.324
Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,-88249.0,206.0,294140.0,148943.0,1.3,47.0,41707764.15,18738270.85,471479.073,6.223,1.294
Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,1728755.0,67.0,885800.0,-40076.0,4.9,18.0,22204588.0,37807812.0,462095.48,3.231,0.476
South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,750420.0,49.0,1213090.0,145405.0,2.4,28.0,39822605.75,19614119.25,451719.11,4.722,0.96
Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,364380.0,83.0,653290.0,-163313.0,2.2,29.0,16886708.43,37586544.57,381312.771,4.36,0.71
Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,1197323.0,94.0,569140.0,-10000.0,3.5,20.0,15111246.92,38857492.08,372384.2991,4.509,0.512
South Korea,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,43877.0,527.0,97230.0,11731.0,1.1,44.0,42047121.14,9229855.86,338428.0482,5.895,1.301
Colombia,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,543448.0,46.0,1109500.0,204796.0,1.8,31.0,40780998.4,10195249.6,331345.612,6.125,0.985
Spain,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,18002.0,94.0,498800.0,40000.0,1.3,45.0,37406384.0,9351596.0,280547.88,6.354,1.286
Uganda,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,1471413.0,229.0,199810.0,168694.0,5.0,17.0,11953482.06,34021448.94,271252.0929,4.189,0.332
Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,415097.0,17.0,2736690.0,4800.0,2.3,32.0,42098727.57,3168721.43,262551.2042,6.086,1.092
Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,797990.0,18.0,2381740.0,-10000.0,3.1,29.0,32108735.37,11875833.63,246313.5864,5.211,1.002
Ukraine,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,-259876.0,75.0,579320.0,10000.0,1.4,41.0,30143738.13,13542838.87,244644.8312,4.332,0.82
Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,912710.0,93.0,434320.0,7834.0,3.7,21.0,29472122.83,10900648.170000002,209938.4092,4.437,1.043
Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,886592.0,60.0,652860.0,-62920.0,4.6,18.0,9768570.0,29305710.0,195371.4,3.203,0.35
Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,-41157.0,124.0,306230.0,-29395.0,1.4,42.0,22703553.0,15135702.0,185412.3495,6.182,1.206
Canada,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,331107.0,4.0,9093510.0,242032.0,1.5,41.0,30617519.67,7181887.329999998,181437.1536,7.278,1.365
Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,438791.0,83.0,446300.0,-51419.0,2.4,30.0,23670799.36,13314824.64,173832.43279999998,5.208,0.801
Saudi Arabia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,545343.0,16.0,2149690.0,134979.0,2.3,32.0,29320991.28,5584950.719999999,157076.739,6.375,1.403
Uzbekistan,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,487487.0,79.0,425400.0,-8863.0,2.4,28.0,16775912.0,16775912.0,144272.8432,6.174,0.745
Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,461401.0,26.0,1280000.0,99069.0,2.3,31.0,26109666.69,6940544.309999999,138810.88619999998,5.697,0.96
Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,416222.0,99.0,328550.0,50000.0,2.0,30.0,25300831.14,7136131.859999999,136235.24459999998,5.339,1.221
Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,889399.0,40.0,786380.0,-5000.0,4.9,18.0,11931548.18,19467262.82,125595.244,4.466,0.204
Ghana,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,655084.0,137.0,227540.0,-10000.0,3.9,22.0,17773413.96,13408014.04,124725.712,4.996,0.611
Yemen,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,664042.0,56.0,527970.0,-30000.0,3.8,20.0,11375477.84,18559990.16,113754.7784,3.38,0.287
